"VERSION_DATE","VERSION_NUMBER","VERSION_REMARKS","SUPERCEDED_BY","SUPERCEDES"
1999-11-19 00:00:00,4.4,Version 4.4 release.,5.0,4.3
1999-07-26 00:00:00,4.3,Version 4.3 release.,4.4,4.2
1998-11-25 00:00:00,4.2,Version 4.2 release.,4.3,4.1
1998-09-29 00:00:00,4.1,Version 4.1 release.,4.2,4.0
1998-03-24 00:00:00,4.0,Version 4.0 release.  Access v7.,4.1,3.2
1997-08-28 00:00:00,3.2,Version 3.2 release.,4.0,3.1
1997-04-11 00:00:00,3.1,Version 3.1 release.,3.2,3.0
1996-12-12 00:00:00,3.0,Version 3.0 release.  Access v2.,3.1,2.1
1996-06-02 00:00:00,2.1,Version 2.1 release.  Excel v4.,3.0,
2000-06-29 00:00:00,4.5,Version 4.5 release.,5.1,4.4
2000-06-29 00:00:00,5.0,Version 5.0 release.  Access97,5.01,4.4
2000-12-31 00:00:00,5.1,Version 5.1 release.,5.2,5.01
2001-06-11 00:00:00,5.2,Version 5.2 release.,5.21,5.1
2001-09-03 00:00:00,6.02,v6.02 release to EPSG wg and ISO 1927 project team.,6.1,
1994-06-01 00:00:00,1.0,Version 1.0 release.  Excel v2.,,
2000-07-09 00:00:00,5.01,Version 5.01 release.,5.1,5.0
2001-06-26 00:00:00,5.21,Version 5.21 release.,6.1,5.2
2002-02-21 00:00:00,5.3,Version 5.3 release. Same data as v6.1.,6.1,5.21
2002-02-25 00:00:00,6.1,Version 6.1 release. ISO 19111 compliant data model and terminology.,6.2,5.21  6.02
2002-07-31 00:00:00,6.2,Version 6.2 release.,6.2.1,5.3  6.1
2002-09-05 00:00:00,6.2.1,v6.2 data; purged redundant Visual Basic code behind forms.,6.2.2,6.2
2002-09-16 00:00:00,6.2.2,v6.2 data; purged further redundant Visual Basic code behind forms.,6.3,6.2.1
2003-02-26 00:00:00,6.3,Version 6.3 release.,6.4,6.2.2
2003-10-15 00:00:00,6.4,Version 6.4 release.,6.5,6.3
2004-01-13 00:00:00,6.5,Version 6.5 release.,,6.4
